step,displacement,residual_force_abs
0,0.0,0.0
1,0.014000000000000002,6.021806796495071
2,0.028000000000000004,11.745745174396754
3,0.04200000000000001,16.912927276309702
4,0.05600000000000001,21.330645989747353
5,0.07,24.87323475772631
6,0.0722,25.374177301159126
7,0.07440000000000001,25.830548045847536
8,0.0766,26.256283072788037
9,0.07880000000000001,26.651231353301657
10,0.081,27.010913312911576
11,0.08320000000000001,27.323562168884656
12,0.0854,27.552257607020113
13,0.08760000000000001,20.84456576274354
14,0.0898,20.481300507680466
15,0.092,19.941899789264607
16,0.0942,19.228400169660564
17,0.0964,18.858163575907778
18,0.09860000000000001,18.59916565559659
19,0.1008,18.33825436769274
20,0.10300000000000001,18.073021899814417
21,0.1052,17.830432631466252
22,0.1074,17.585680207205073
23,0.1096,17.2037722970204
24,0.11180000000000001,14.168966804625803
25,0.114,5.7827502854690325
26,0.1162,1.1594799959071922
27,0.1184,1.0887187955514748
28,0.1206,1.0065475665764039
29,0.12279999999999999,0.9264766006394062
30,0.125,0.8480292726594362
