gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d
1542675,1119744,187489,standard,from_u,1.0,2.1488883651808734,-0.07312228788089808,-0.07312228788089808,y,0.0005,y,solve_direct_pardiso,gmres-phase,1,183,True,True,nan,6.708015091570613e-09,6.857607368173273e-07,6.708015090079307e-09,997.8510771989822,4.589557647705078e-06,67.62464772164822,904.1382186412811,4.807478353381157,17.792771846055984,1.0,1e-05,-0.07312228788089808,0.0005,5,5,True,3.685596705227141e-07,1.2242403780964408e-06
1542675,1119744,187489,standard,from_u,1.0,3.1862113897210005,-0.08765595231299203,-0.08765595231299203,y,0.0006000000000000001,y,solve_direct_pardiso,gmres-phase,1,195,True,True,nan,1.2121649491594087e-09,4.743648964078579e-05,1.2121649464689136e-09,1058.07251290977,5.260109901428223e-06,71.86057132482529,958.0791089236736,5.184154585003853,18.654416859149933,1.0,1e-05,-0.08765595231299203,0.0006000000000000001,6,5,True,1.0204752775662952e-07,3.999861446893397e-06
1542675,1119744,187489,standard,from_u,1.0,3.1862113897210005,-0.08765595231299203,-0.08765595231299203,y,0.0006000000000000001,y,solve_direct_pardiso,gmres-phase,1,195,True,True,nan,1.2121649491594087e-09,4.743648964078579e-05,1.2121649464689136e-09,1087.7491128742695,5.4836273193359375e-06,73.5870226174593,984.6383590251207,5.104306519031525,20.31536142528057,1.0,1e-05,-0.08765595231299203,0.0006000000000000001,6,5,True,1.0204752775662952e-07,3.999861446893397e-06
1542675,1119744,187489,standard,from_u,1.0,4.498440246064395,-0.10214076078006828,-0.10214076078006828,y,0.0007,y,solve_direct_pardiso,gmres-phase,1,188,True,True,nan,2.409665672312369e-09,2.733740471205197e-06,2.4096656685954345e-09,1221.5225950181484,4.872679710388184e-06,84.13989715278149,1104.8886210173368,5.452773556113243,23.221659243106842,1.0,1e-05,-0.10214076078006828,0.0007,7,6,True,2.535301445890912e-07,1.7670034666655187e-06
1542675,1119744,187489,standard,from_u,1.0,4.498440246064395,-0.10214076078006828,-0.10214076078006828,y,0.0007,y,solve_direct_pardiso,gmres-phase,1,188,True,True,nan,2.409665672312369e-09,2.733740471205197e-06,2.4096656685954345e-09,1227.7446808367968,5.841255187988281e-06,87.4716654419899,1108.0008546710014,5.375807195901871,22.032416850328445,1.0,1e-05,-0.10214076078006828,0.0007,7,6,True,2.535301445890912e-07,1.7670034666655187e-06
1542675,1119744,187489,standard,from_u,1.0,6.14781741411578,-0.11656903564254562,-0.11656903564254562,y,0.0008,y,solve_direct_pardiso,gmres-phase,1,203,True,True,nan,5.275084368289798e-10,8.948562320577834e-06,5.275084411452463e-10,1032.7917786091566,4.157423973083496e-06,69.41526590287685,933.7263056486845,4.356037721037865,21.65228743851185,1.0,1e-05,-0.11656903564254562,0.0008,8,6,True,7.383065340621151e-07,7.046933075726063e-06
1542675,1119744,187489,standard,from_u,1.0,6.14781741411578,-0.11656903564254562,-0.11656903564254562,y,0.0008,y,solve_direct_pardiso,gmres-phase,1,203,True,True,nan,5.275084368289798e-10,8.948562320577834e-06,5.275084411452463e-10,1070.8968312889338,6.750226020812988e-06,70.63940744102001,970.3789178729057,4.551906526088715,21.566931515932083,1.0,1e-05,-0.11656903564254562,0.0008,8,6,True,7.383065340621151e-07,7.046933075726063e-06
1542675,1119744,187489,standard,from_u,1.0,8.228327376636855,-0.13093363791819385,-0.13093363791819385,y,0.0009000000000000001,y,solve_direct_pardiso,gmres-phase,1,200,True,True,nan,6.339097464875022e-10,0.0006734376700571248,6.339097437834316e-10,1211.5052616000175,5.155801773071289e-06,79.56546919047832,1098.7829966694117,5.085125908255577,24.398372307419777,1.0,1e-05,-0.13093363791819385,0.0009000000000000001,9,7,True,1.247688327492847e-07,4.8366828206510496e-06
1542675,1119744,187489,standard,from_u,1.0,8.228327376636855,-0.13093363791819385,-0.13093363791819385,y,0.0009000000000000001,y,solve_direct_pardiso,gmres-phase,1,200,True,True,nan,6.339097464875022e-10,0.0006734376700571248,6.339097437834316e-10,1196.077882155776,5.9157609939575195e-06,81.57126116752625,1080.84150531888,5.185643702745438,24.78307355940342,1.0,1e-05,-0.13093363791819385,0.0009000000000000001,9,7,True,1.247688327492847e-07,4.8366828206510496e-06
1542675,1119744,187489,standard,from_u,1.0,10.88639719355977,-0.14522734185184188,-0.14522734185184188,y,0.001,y,solve_direct_pardiso,gmres-phase,1,201,True,True,nan,5.623896057688152e-10,2.5883433519589133e-05,5.623896022976678e-10,1388.0162309259176,4.589557647705078e-06,91.87930835783482,1258.8285770118237,5.828112915158272,27.698495268821716,1.0,1e-05,-0.14522734185184188,0.001,10,8,True,1.3898413903324511e-07,4.688679906871954e-06
