gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d,rss_mb
3582,2460,131,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.17080435156822205,2.7120113372802734e-06,0.04400940239429474,0.0535016804933548,0.005914449691772461,0.00013659894466400146,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0,150.94140625
3582,2460,131,standard,from_u,0.3903800747562183,20.30523925403937,-13.618605567430729,-13.618605567430729,y,0.05,y,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,5.0460041761398315,1.296401023864746e-06,2.0660366266965866,2.7048669904470444,0.18696260452270508,0.055294230580329895,1.0,1e-05,-13.618605567430729,0.05,1,50,False,98.35872196800129,2.440369347965527e-13,150.2421875
