step,load,iter,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_iter_s
6,0.0722,6,0.00036721180277189566,0.0023531357848476753,0.004650582227883589,0.009943509425445501,0.3920850978135518,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.36707342852472e-12,2.50328877361031e-15,0.5750376246869564
6,0.0722,7,0.00018541034226281957,0.0012077204106924347,0.002348143594744159,0.005103394102606158,0.3921457490302624,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.5757231124080778e-12,2.2114931414507178e-15,0.6338221672922373
6,0.0722,8,9.700869619705221e-05,0.0006417336474887662,0.0012285741228323546,0.0027117366594478663,0.3921816916961589,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.562719979984259e-12,2.184599503470883e-15,0.5797712500207126
6,0.0722,9,5.244058484264479e-05,0.00035313134839213786,0.0006641378355709283,0.001492206660477437,0.39219786578239474,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.5100129823740066e-12,2.142957515665138e-15,0.5987873338162899
6,0.0722,10,2.9278823345678125e-05,0.00020105413568559296,0.00037080391881993995,0.0008495828018457953,0.3922052826639666,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.216707645054799e-12,2.5734681165326316e-15,0.6075812499038875
6,0.0722,11,1.6841419871750863e-05,0.00011794943688648176,0.00021328946225767783,0.0004984120954510244,0.39220880289677224,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.338086863073509e-12,1.94180515579712e-15,0.5906950831413269
6,0.0722,12,9.942836686936843e-06,7.098365391529173e-05,0.0001259218228879771,0.00029995150994015197,0.39221058428638145,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.1428411191781235e-12,2.4224037323794993e-15,0.6051618750207126
6,0.0722,13,6.003133637945946e-06,4.3551000819388066e-05,7.602714944754566e-05,0.00018403093859847212,0.3922115679590502,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.261805772710349e-12,2.1269724063783162e-15,0.5863853339105844
6,0.0722,14,3.688048971307343e-06,2.7093020570892008e-05,4.6707580943906864e-05,0.00011448540587635172,0.3922121323754035,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.838727491812133e-12,2.2559042182659945e-15,0.5916034579277039
6,0.0722,15,2.295042978501945e-06,1.7053885006673727e-05,2.9065748996853963e-05,7.20636129016673e-05,0.3922124726776323,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.06748843641001e-12,2.2226102122026318e-15,0.5947137498296797
6,0.0722,16,1.4444434165885325e-06,1.0784864714860258e-05,1.8293265171933632e-05,4.557297740100854e-05,0.3922126826712885,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.319172457149776e-12,2.1270378920998995e-15,0.6463510002940893
6,0.0722,17,9.134035067980995e-07,6.838954475316617e-06,1.1567869233877728e-05,2.88989733288619e-05,0.3922128138395728,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.059748151613972e-12,2.0322533189584003e-15,0.6603082497604191
6,0.0722,18,5.79187054155189e-07,4.343845161705346e-06,7.3351591652067706e-06,1.835553459610022e-05,0.3922128963873955,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.359607896867952e-12,2.2859392197199642e-15,0.6568712089210749
6,0.0722,19,3.678713969551167e-07,2.761789353739573e-06,4.6589357093429215e-06,1.1670333113302328e-05,0.39221294857651245,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.718574496802239e-12,2.018228879001806e-15,0.6340396669693291
6,0.0722,20,2.3389006909117007e-07,1.7570041063377736e-06,2.962118838183239e-06,7.424470361810011e-06,0.3922129816648349,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.369088640047915e-12,1.929123942848024e-15,0.6253835833631456
7,0.07440000000000001,1,0.07868364067429826,0.24203436180507595,1.0,1.0,0.406104616704014,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.8890253638717364e-12,2.7954340054081206e-15,0.6089322082698345
7,0.07440000000000001,2,0.01334122762414065,0.06684529029854128,0.1695552914152143,0.2761809926491991,0.4109164737438618,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.589730838603938e-12,2.4174036309684012e-15,0.6311720418743789
7,0.07440000000000001,3,0.0049603517213553956,0.028945720148370623,0.06304171589985512,0.11959343265351,0.4128928002085013,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.369200296116929e-12,2.58335961655588e-15,0.5631908746436238
7,0.07440000000000001,4,0.0023682742182894573,0.014820353339955714,0.0300986863087926,0.06123243505354578,0.4137375649375193,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.098207742909654e-12,2.3773609985516785e-15,0.5781459999270737
7,0.07440000000000001,5,0.0012727428184408085,0.008366386115932897,0.01617544393642357,0.03456693526298065,0.41410836545550384,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.878237695210141e-12,2.198890442682131e-15,0.6143707917071879
7,0.07440000000000001,6,0.0007378908872112351,0.005053261827720214,0.00937794541390946,0.020878282695206286,0.4142808490109668,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.283028800943379e-12,2.635087500482252e-15,0.6784467501565814
7,0.07440000000000001,7,0.00045183950824323466,0.003197178427436345,0.005742483499379135,0.013209605460943661,0.41436607555000277,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.295274744348198e-12,2.143593621283874e-15,0.625421832781285
7,0.07440000000000001,8,0.00028767271240169237,0.0020940049272307423,0.003656067639173942,0.008651684461717728,0.41441312374739425,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.123706379611637e-12,2.378411779648866e-15,0.5826724590733647
7,0.07440000000000001,9,0.00018874574764046306,0.0013997423887836366,0.0023987927607690912,0.005783238290399975,0.41444099810257334,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.153537045437446e-12,1.9546696378859403e-15,0.6158909169025719
7,0.07440000000000001,10,0.00012616729136603509,0.000949097966288824,0.0016034755164455322,0.003921335628588087,0.4144588234525149,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.033169370627401e-12,2.0199993287742756e-15,0.6245387909002602
7,0.07440000000000001,11,8.550741366442698e-05,0.0006482233381866647,0.0010867241644089008,0.0026782285513191548,0.4144705700705709,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.930022224827198e-12,1.96911021063984e-15,0.6457190830260515
7,0.07440000000000001,12,5.837464223367277e-05,0.0004445555283335038,0.0007418904582123721,0.0018367455142238426,0.4144784432025288,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.356480738628955e-12,2.308698620069279e-15,0.6718680001795292
7,0.07440000000000001,13,4.002086316633719e-05,0.000305641645020947,0.0005086300382566039,0.0012628026976892546,0.41448377951507936,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.295644987193301e-12,1.8402298115310326e-15,0.6059126672334969
7,0.07440000000000001,14,2.750971195915777e-05,0.0002104647927382264,0.0003496242894127257,0.0008695657557406071,0.414487423680661,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.294616152907929e-12,1.8847326827620518e-15,0.6153779998421669
7,0.07440000000000001,15,1.8941098864895122e-05,0.00014506293338449407,0.00024072473900006215,0.0005993485069748961,0.4144899227162121,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.808718750296773e-12,2.28066395774638e-15,0.6364478748291731
7,0.07440000000000001,16,1.3054454613000647e-05,0.00010004617233730854,0.00016591065818926754,0.0004133552425827925,0.41449164175713543,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.911146514046072e-12,2.6275027354669864e-15,0.6563818748109043
7,0.07440000000000001,17,9.003159889119522e-06,6.902531367403233e-05,0.00011442225870542839,0.0002851880747809782,0.4144928261560427,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.4481282127062434e-12,2.3185883688761347e-15,0.6402884577400982
7,0.07440000000000001,18,6.211593438803439e-06,4.763380126999634e-05,7.894389971754872e-05,0.0001968059448862825,0.4144936428633673,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.1853650947478133e-12,1.927277447548451e-15,0.6262696250341833
7,0.07440000000000001,19,4.286601528004457e-06,3.2876376051984055e-05,5.44789423985647e-05,0.00013583350647732107,0.414494206293117,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.770039910013355e-12,2.148659187817849e-15,0.6221332498826087
7,0.07440000000000001,20,2.9585969170411286e-06,2.2692993455324436e-05,3.760116959112117e-05,9.37593872460159e-05,0.4144945950998124,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.742845608901423e-12,1.988158899302438e-15,0.6291803340427577
7,0.07440000000000001,21,2.0421957537624345e-06,1.5664792525677505e-05,2.5954515274857012e-05,6.47213577809801e-05,0.4144948634486475,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.2558086737723414e-12,1.8978215081233447e-15,0.6289313333109021
7,0.07440000000000001,22,1.4097216674367469e-06,1.0813681795152331e-05,1.7916324859345607e-05,4.4678291604979646e-05,0.41449504867762904,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,8.53978288511326e-12,1.8009953391942136e-15,0.6715420829132199
7,0.07440000000000001,23,9.73160981628889e-07,7.465053503562086e-06,1.2368021780501684e-05,3.0842949108086225e-05,0.4144951765405337,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.6058522809926805e-12,1.7902868745775574e-15,0.6150607909075916
7,0.07440000000000001,24,6.718090412703098e-07,5.1534615028758534e-06,8.538103162399218e-06,2.129227215690237e-05,0.41449526480720456,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.7263997757093134e-12,2.2658322907354893e-15,0.6060924157500267
7,0.07440000000000001,25,4.637813711454697e-07,3.5577018303465414e-06,5.894254093620789e-06,1.469916008542523e-05,0.4144953257409897,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.751019338904718e-12,1.6882020534987751e-15,0.6008167499676347
7,0.07440000000000001,26,3.201729642964851e-07,2.456082595252797e-06,4.069117310189086e-06,1.0147660757487072e-05,0.4144953678065253,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.73090903292574e-12,1.5493372770553415e-15,0.5864159581251442
7,0.07440000000000001,27,2.2103396481568055e-07,1.6955798740663002e-06,2.809147656634558e-06,7.00553368298939e-06,0.4144953968466601,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.041115467547684e-12,1.8430825131773605e-15,0.5982847916893661
8,0.0766,1,0.07837243255137136,0.2372763856823042,1.0,1.0,0.4274024412142629,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.374890590919901e-12,2.6467100393777275e-15,0.6167009170167148
8,0.0766,2,0.014492305928310132,0.0755690654414524,0.18491586207702249,0.3184854035269817,0.43228592845674907,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.671322679951307e-12,2.1415344403788358e-15,0.6176629578694701
8,0.0766,3,0.006286557073725052,0.038049631063269106,0.08021388221686696,0.16035995724502813,0.43432184231025456,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.66220918185271e-12,2.422392091071415e-15,0.6241837497800589
8,0.0766,4,0.0034521334686802283,0.02251339486294852,0.04404780298758027,0.0948825766972543,0.4352180398371382,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.6889244213812624e-12,1.9966123764301325e-15,0.6105437921360135
8,0.0766,5,0.0021209481688102016,0.014574171079973537,0.027062426158840584,0.06142276248040667,0.4356487448542562,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.408888581759315e-12,2.3264739258321203e-15,0.7192739997990429
8,0.0766,6,0.0013959032230445067,0.009976923968827269,0.01781115090602201,0.042047690250076736,0.43588138936930365,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.979500107421039e-12,2.037549837483795e-15,0.6502216658554971
8,0.0766,7,0.0009618741249603435,0.007072746560074269,0.012273118157074643,0.029808050808495377,0.43602075491481357,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.989917153369758e-12,1.9425276073402557e-15,0.6275029997341335
8,0.0766,8,0.0006832709714658813,0.005131519556724437,0.00871825652493321,0.021626760463197413,0.43611310385876845,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.712125211477536e-12,2.114351902048588e-15,0.7702851668000221
8,0.0766,9,0.0004959496966911932,0.0037696066064354323,0.006328114115459022,0.015886985953514402,0.4361771236711938,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.468401103485618e-12,1.8906479054813906e-15,0.6386279999278486
8,0.0766,10,0.0003643318179862029,0.002789741262648527,0.004648724125634248,0.011757348944044468,0.4362227834313391,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.338293377375374e-12,2.4236370537150077e-15,0.6373502919450402
8,0.0766,11,0.00026962576530322716,0.002074840393311491,0.003440313851767885,0.008744403229782635,0.4362561331075057,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.747171704247081e-12,1.7266793714106166e-15,0.6426784167997539
8,0.0766,12,0.00020055094463123697,0.0015477225086449533,0.0025589475546746667,0.006522867853850577,0.43628078151559985,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.5592845404547825e-12,1.9150804772590987e-15,0.6432400420308113
8,0.0766,13,0.000149625703546495,0.001156579109241109,0.001909162427087085,0.004874396185340096,0.43629910314621145,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.9732060075722855e-12,2.041060040275762e-15,0.637943500187248
8,0.0766,14,0.00011183243895647109,0.0008652840162122778,0.0014269359175902504,0.003646734645439307,0.4363127674063763,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.414295950692371e-12,2.518963272870573e-15,0.6435221671126783
8,0.0766,15,8.368058458093604e-05,0.0006478500881689853,0.001067729836330974,0.0027303605721490103,0.4363229788503027,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.946082830545476e-12,1.8843520676529652e-15,0.6471596253104508
8,0.0766,16,6.266184805868762e-05,0.000485303322606657,0.0007995394045937543,0.0020453081380649605,0.4363306194128987,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.1136163926926854e-12,2.1172494234549295e-15,0.6432921662926674
8,0.0766,17,4.6945358368295283e-05,0.00036366765509875397,0.0005990034612939143,0.0015326752978515041,0.43633634080458256,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.2232439836905915e-12,1.8335487203747056e-15,0.6436556247062981
8,0.0766,18,3.51822802030556e-05,0.00027258538648090896,0.0004489114227760432,0.0011488095863272333,0.43634062723646894,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.815656934878853e-12,1.6240768578157086e-15,0.6407994581386447
8,0.0766,19,2.6372571662938904e-05,0.00020435048459288728,0.00033650316577391265,0.0008612339740647336,0.43634383967518725,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.397000837762727e-12,1.9056327673336924e-15,0.6414204156026244
8,0.0766,20,1.9771913472773684e-05,0.00015321539493172987,0.00025228148252019153,0.0006457254247663488,0.43634624775795317,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.765309779377712e-12,1.7535337650915982e-15,0.6736887088045478
8,0.0766,21,1.4824932677694634e-05,0.00011488625515134139,0.000189160042569525,0.0004841874795967506,0.43634805316108455,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.9183445253016115e-12,2.2814581698422268e-15,0.6509454590268433
8,0.0766,22,1.111659538786914e-05,8.615122402955676e-05,0.00014184318421636924,0.00036308385169397754,0.43634940686365414,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.8458140840744595e-12,2.0209534046959115e-15,0.6444204999133945
8,0.0766,23,8.336341981925008e-06,6.460627644288114e-05,0.00010636829444410475,0.0002722827906245346,0.4363504219547615,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.239668552587481e-12,1.895457517210216e-15,0.6633024169132113
8,0.0766,24,6.251668920467689e-06,4.84510022649946e-05,7.976872373292563e-05,0.00020419647798355697,0.43635118317471294,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,8.426843400720798e-12,2.1795163426210285e-15,0.6219039168208838
8,0.0766,25,4.6884497855859015e-06,3.6336383508391716e-05,5.982269061908636e-05,0.0001531394850098715,0.436351754038219,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.940010379196655e-12,1.6688104825283754e-15,0.6200022078119218
8,0.0766,26,3.516187797281568e-06,2.7251389054360367e-05,4.486510987108619e-05,0.00011485082670994489,0.43635218215938615,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.802244832672051e-12,1.8347330035496126e-15,0.6576004577800632
8,0.0766,27,2.637071164716126e-06,2.0438146639986622e-05,3.364794327377277e-05,8.613645467169166e-05,0.4363525032371694,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.402036917336513e-12,1.906280288071302e-15,0.6329271658323705
