gdof_sigma,gdof_u,gdof_d,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,reaction_y,disp_y,step,iters,converged,err_u,err_d
17120,12120,2150,0.9969080546420073,1940.8371472918816,-0.4142629922299075,-0.4142629922299075,y,0.081,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.0540276089809215e-13,3.2651483349074833e-16,31.77681620931253,2.624932676553726e-06,13.003201329614967,17.69550170842558,0.8562915856018662,0.1417246642522514,-0.4142629922299075,0.081,10,49,True,3.91533789046221e-13,4.21179685612103e-15
17120,12120,2150,0.9971965966950618,1940.8371472918816,-0.37319606199564437,-0.37319606199564437,y,0.08320000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.083228050432728e-14,1.851947270063373e-16,2.555875750258565,2.00001522898674e-06,1.061873875092715,1.36888841772452,0.0719962501898408,0.011910249944776297,-0.37319606199564437,0.08320000000000001,11,4,True,5.089265358112969e-12,8.888538081812922e-14
17120,12120,2150,0.9976192692738514,1940.8371472918816,-0.3583807871594208,-0.3583807871594208,y,0.0854,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.652124518439638e-14,4.4972263225957e-16,1.9049171251244843,3.458932042121887e-06,0.8277129582129419,0.9772570407949388,0.05563058238476515,0.009535166900604963,-0.3583807871594208,0.0854,12,3,True,2.723689519729265e-12,2.77936598402613e-13
17120,12120,2150,0.998303583233528,2011.8866297512513,-0.3302088865365232,-0.3302088865365232,y,0.08760000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.2002895949496875e-13,6.710356661832314e-17,1.9814632921479642,3.041233867406845e-06,0.7864984180778265,1.1035486664623022,0.051677499897778034,0.008601206820458174,-0.3302088865365232,0.08760000000000001,13,3,True,1.884421568701719e-12,1.755146564806608e-13
17120,12120,2150,0.9987806545250121,2075.4849660463137,-0.3110984218786952,-0.3110984218786952,y,0.0898,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.194163108453792e-14,2.250759155658371e-16,1.9719407907687128,2.125278115272522e-06,0.7654025410301983,1.1126242922618985,0.05093287490308285,0.008513668086379766,-0.3110984218786952,0.0898,14,3,True,1.956001381218329e-12,1.9429717633477418e-13
17120,12120,2150,0.9993260433031628,2152.665930923851,-0.2882577172979838,-0.2882577172979838,y,0.092,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.06653455319766e-14,1.9302720871260759e-16,1.9614302911795676,3.2079406082630157e-06,0.7675911248661578,1.1028192499652505,0.05167795903980732,0.008547206874936819,-0.2882577172979838,0.092,15,3,True,2.5223474202089717e-12,1.807898955055979e-13
17120,12120,2150,0.9997802794155173,2219.6578646133266,-0.26875125392669114,-0.26875125392669114,y,0.0942,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.0172435799645259e-13,1.6217461806081513e-16,1.982850540895015,3.125052899122238e-06,0.7722572921775281,1.1195305841974914,0.0515387081541121,0.008447082713246346,-0.26875125392669114,0.0942,16,3,True,2.9197726983768533e-12,1.8759256477056383e-13
17120,12120,2150,1.0,2293.9057866951116,-0.25016276191603637,-0.25016276191603637,y,0.0964,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.603214527484331e-14,1.4479134450770453e-16,1.96934170788154,3.33273783326149e-06,0.78387416806072,1.0934581249020994,0.05222679255530238,0.008516584057360888,-0.25016276191603637,0.0964,17,3,True,2.0860434121594805e-12,2.1708989679036517e-13
17120,12120,2150,1.0,2365.978775553638,-0.23641536790743756,-0.23641536790743756,y,0.09860000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.812349581138394e-14,9.991254866833366e-17,1.965731458272785,2.0829029381275177e-06,0.7714732089079916,1.0953318756073713,0.05098529206588864,0.008539916481822729,-0.23641536790743756,0.09860000000000001,18,3,True,2.743116741928549e-12,2.1258854291310277e-13
17120,12120,2150,1.0,2465.3225473574503,-0.22650655204683207,-0.22650655204683207,y,0.1008,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.974104831418642e-14,1.3209618442842478e-16,1.9472944168373942,2.3329630494117737e-06,0.7588930008932948,1.0897493329830468,0.05365445790812373,0.009210416115820408,-0.22650655204683207,0.1008,19,3,True,2.034657538208537e-12,1.6343596649923025e-13
