gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d
10924,7680,1384,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,elastic_solver,gmres-phase,1,1,True,True,nan,nan,0.0,0.0,3.164609044790268,5.140900611877441e-06,1.4717575162649155,0.00011914968490600586,1.5011117160320282,0.00019121170043945312,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0
10924,7680,1384,standard,from_u,0.009236085264268267,0.6071200791734725,-6.021806796503487,-6.021806796503487,y,0.014000000000000002,y,elastic_solver,gmres-phase,1,33,True,True,nan,6.350578033258786e-11,8.850436300832135e-09,6.350576633172532e-11,18.827141270041466,3.5315752029418945e-06,6.620239853858948,9.508725479245186,2.604634940624237,0.025026947259902954,1.0,1e-05,-6.021806796503487,0.014000000000000002,1,4,True,7.791456943163622e-08,5.402933137268539e-07
10924,7680,1384,standard,from_u,0.03660841863419276,2.4196134605854156,-11.745745174401,-11.745745174401,y,0.028000000000000004,y,elastic_solver,gmres-phase,1,32,True,True,nan,9.158452730617052e-11,9.945780891087061e-09,9.158452846182795e-11,26.67711602151394,5.155801773071289e-06,8.94110606610775,14.12356412410736,3.482659861445427,0.030619576573371887,1.0,1e-05,-11.745745174401,0.028000000000000004,2,5,True,4.794057379811457e-07,2.288448706951504e-06
