step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,183524,132408,22486,0.0,0.0,0.0,0.0,0.0,1.0,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,2.410456582903862,0.0008714646100997925,0.9061286151409149,0.0006382614374160767,2.411328047513962,0.906766876578331,3.3397544771432877
1,0.014000000000000002,1,183524,132408,22486,1.683492200172528,0.4128668264009131,1.0,1.0,0.009015882157857449,1.0,gmres-auxspace,gmres-phase,8,108,True,True,nan,8.714306662125951e-11,1.912869806755616e-09,8.714302853144785e-11,2.5384759306907654,112.87767224013805,0.5103096067905426,0.09993362426757812,115.41614817082882,0.6102432310581207,116.0477766096592
1,0.014000000000000002,2,183524,132408,22486,0.0008566528808584396,0.0007463088298058642,0.0005088546776579351,0.0018076260481174218,0.009054742112605438,1.0,gmres-auxspace,gmres-phase,8,106,True,True,nan,9.132081711582107e-11,2.4659674107967025e-09,9.132088579894975e-11,2.694664031267166,98.68814967572689,0.43431098759174347,0.10570378601551056,101.38281370699406,0.540014773607254,101.94132301211357
1,0.014000000000000002,3,183524,132408,22486,6.578568099859674e-06,1.1049413464956161e-05,3.907691463723733e-06,2.6762657492434767e-05,0.009055397469382583,1.0,gmres-auxspace,gmres-phase,8,106,True,True,nan,8.196984696835663e-11,2.451816962046502e-09,8.19698111248519e-11,2.6607508659362793,97.20459865033627,0.7052771747112274,0.1310734748840332,99.86534951627254,0.8363506495952606,100.72010469436646
1,0.014000000000000002,4,183524,132408,22486,1.0322909372709956e-07,1.8381061160056046e-07,6.13184270865766e-08,4.4520557198284497e-07,0.009055408924446447,1.0,gmres-auxspace,gmres-phase,8,105,True,True,nan,9.402735927418238e-11,2.448376905286168e-09,9.402733494822708e-11,3.18879035115242,97.6757469624281,0.6095688790082932,0.0940721184015274,100.86453731358051,0.7036409974098206,101.58633683621883
2,0.028000000000000004,1,183524,132408,22486,1.6832811820158209,1.2105244251506713,1.0,1.0,0.03529752834426857,1.0,gmres-auxspace,gmres-phase,8,108,True,True,nan,8.21724145141532e-11,2.4494155901604644e-09,8.217244603172038e-11,2.5425919592380524,97.68417705595493,0.5371477901935577,0.1248672604560852,100.22676901519299,0.6620150506496429,100.90740832686424
2,0.028000000000000004,2,183524,132408,22486,0.005097717204275623,0.0085567611300304,0.003028440678087323,0.007068639799618548,0.03574259569583106,1.0,gmres-auxspace,gmres-phase,8,106,True,True,nan,8.94766418611109e-11,1.6736580746628883e-09,8.947662473930966e-11,2.791042059659958,113.48716001212597,0.4585854560136795,0.09210823476314545,116.27820207178593,0.550693690776825,116.84732915461063
2,0.028000000000000004,3,183524,132408,22486,0.00015460335027936954,0.0005005936164371708,9.184641991555066e-05,0.0004135345029282354,0.03577236026837673,1.0,gmres-auxspace,gmres-phase,8,105,True,True,nan,9.579227225622724e-11,1.6665130991382786e-09,9.579220619959057e-11,2.624275580048561,99.0251235961914,0.4459327459335327,0.11614169180393219,101.64939917623997,0.5620744377374649,102.23001238703728
2,0.028000000000000004,4,183524,132408,22486,9.587865976491521e-06,3.299878604029046e-05,5.695938431991219e-06,2.725990930433574e-05,0.03577442436268277,1.0,gmres-auxspace,gmres-phase,8,105,True,True,nan,8.662282780163794e-11,1.6666545725997829e-09,8.662277693883634e-11,3.128761127591133,98.23846332728863,0.4060027599334717,0.11834436655044556,101.36722445487976,0.5243471264839172,101.90961067378521
2,0.028000000000000004,5,183524,132408,22486,6.316837093093787e-07,2.2351482842868124e-06,3.752692753048561e-07,1.8464297273544138e-06,0.03577456861663636,1.0,gmres-auxspace,gmres-phase,8,105,True,True,nan,8.356134603238077e-11,1.6697630939746938e-09,8.356132269783184e-11,2.801479756832123,98.35824754834175,0.4175335019826889,0.11625027656555176,101.15972730517387,0.5337837785482407,101.71179300546646
