step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,3582,2460,131,0.0,0.0,0.0,0.0,0.0,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04136054217815399,0.05448995530605316,0.00552898645401001,8.560717105865479e-05,0.09585049748420715,0.0056145936250686646,0.1016579270362854
1,0.05,1,3582,2460,131,250.69392952519593,0.2916438012434523,1.0,1.0,0.12080339981695855,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04429034888744354,0.05414600670337677,0.004422590136528015,0.0010046660900115967,0.09843635559082031,0.005427256226539612,0.10406453907489777
1,0.05,2,3582,2460,131,18549.21458766438,0.016011384432995494,73.99147886347242,0.05490047916235273,0.13070241131017138,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.044885918498039246,0.05369652807712555,0.0044614821672439575,0.0010092854499816895,0.0985824465751648,0.005470767617225647,0.10425066947937012
1,0.05,3,3582,2460,131,31664.88322151028,0.00179590646833158,126.30893488917852,0.006157876356962001,0.1318821787327825,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04435403645038605,0.053532034158706665,0.004450216889381409,0.0009114295244216919,0.09788607060909271,0.005361646413803101,0.10345394909381866
1,0.05,4,3582,2460,131,7599.547822721763,0.0002244694969352842,30.31404803903707,0.000769670042628152,0.13203091566278022,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.044641658663749695,0.054082080721855164,0.00443701446056366,0.000952795147895813,0.09872373938560486,0.005389809608459473,0.10430808365345001
1,0.05,5,3582,2460,131,2609.8951912114053,2.8492851514034445e-05,10.41068364181949,9.769743568199407e-05,0.13204984607755996,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04391929507255554,0.05213962495326996,0.004160389304161072,0.0009836703538894653,0.0960589200258255,0.005144059658050537,0.10139518976211548
1,0.05,6,3582,2460,131,75395.4736043324,3.626941938875322e-06,300.7471052335744,1.2436204450125445e-05,0.13205225804112686,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.041415467858314514,0.05188626050949097,0.004039108753204346,0.0008956491947174072,0.09330172836780548,0.004934757947921753,0.09842023253440857
1,0.05,7,3582,2460,131,22250.58790930212,4.619176950406116e-07,88.75599002913165,1.5838419780265502e-06,0.1320525653148563,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.0401918888092041,0.05196194350719452,0.004061579704284668,0.0008933097124099731,0.09215383231639862,0.004954889416694641,0.09729304909706116
1,0.05,8,3582,2460,131,124738.5427757395,5.8832061231418616e-08,497.573048585537,2.0172573865990735e-07,0.13205260445788522,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.039335742592811584,0.05199073255062103,0.004050344228744507,0.0008728206157684326,0.09132647514343262,0.0049231648445129395,0.09644094109535217
1,0.05,9,3582,2460,131,7068.1081386837795,7.492905478691064e-09,28.194173477078156,2.569197578259616e-08,0.13205260944286987,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04109063744544983,0.051842331886291504,0.0040618181228637695,0.0008536875247955322,0.09293296933174133,0.004915505647659302,0.09803278744220734
