gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d
10924,7680,1384,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,elastic_solver,gmres-phase,1,1,True,True,nan,nan,0.0,0.0,4.301661312580109,3.7997961044311523e-06,1.9915834665298462,0.00048613548278808594,2.112932875752449,0.00015686452388763428,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0
10924,7680,1384,standard,from_u,0.009236085264269394,0.6071200791731318,-6.021806796483004,-6.021806796483004,y,0.014000000000000002,y,elastic_solver,gmres-phase,1,33,True,True,nan,6.350573134744656e-11,8.333646029859599e-09,6.350572777401736e-11,22.750185802578926,4.678964614868164e-06,7.878917828202248,11.91927008330822,2.8669440299272537,0.021401003003120422,1.0,1e-05,-6.021806796483004,0.014000000000000002,1,4,True,7.791456946215211e-08,5.402933135583528e-07
10924,7680,1384,standard,from_u,0.03660841863418985,2.4196134605847957,-11.745745174373162,-11.745745174373162,y,0.028000000000000004,y,elastic_solver,gmres-phase,1,32,True,True,nan,9.158453114365257e-11,8.011128595268286e-09,9.158456020113152e-11,29.078811705112457,3.6656856536865234e-06,9.792340159416199,15.693796068429947,3.5009991973638535,0.026071935892105103,1.0,1e-05,-11.745745174373162,0.028000000000000004,2,5,True,4.794057317543219e-07,2.288448688856568e-06
