gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d,rss_mb
48092,34416,5956,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,_default_spsolve,gmres-phase,1,1,True,True,nan,nan,0.0,0.0,6.6015352457761765,8.285045623779297e-06,1.070560336112976,3.7009516209363937,0.6991667747497559,0.00020517408847808838,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0,563.78515625
48092,34416,5956,standard,from_u,0.009029645222976874,0.27110320233470353,-6.159197969992765,-6.159197969992765,y,0.014000000000000002,y,_default_spsolve,gmres-phase,1,58,True,True,nan,8.793265686725348e-11,2.2670557165267875e-11,8.793266845407756e-11,22.12543097138405,5.066394805908203e-06,4.831743493676186,15.968248173594475,1.0111871808767319,0.09910957515239716,1.0,1e-05,-6.159197969992765,0.014000000000000002,1,4,True,6.165639458010046e-08,4.50368414720412e-07,777.58203125
48092,34416,5956,standard,from_u,0.03568942260407953,1.062286624141642,-11.999123089418688,-11.999123089418688,y,0.028000000000000004,y,_default_spsolve,gmres-phase,1,58,True,True,nan,7.667875741554978e-11,2.8183460202207374e-11,7.667873886836625e-11,26.962853774428368,4.470348358154297e-06,5.124635577201843,20.20077346265316,1.2836941480636597,0.1291358768939972,1.0,1e-05,-11.999123089418688,0.028000000000000004,2,5,True,3.7858704630700983e-07,1.876983302278767e-06,794.34765625
48092,34416,5956,standard,from_u,0.07890691768768471,2.356004636687597,-17.245798012971555,-17.245798012971555,y,0.04200000000000001,y,_default_spsolve,gmres-phase,1,57,True,True,nan,9.557256378240617e-11,3.727701311863809e-11,9.557248461139148e-11,31.73368737101555,5.125999450683594e-06,6.889563858509064,22.62219898402691,1.7911566197872162,0.1441728174686432,1.0,1e-05,-17.245798012971555,0.04200000000000001,3,6,True,1.5594182798502167e-06,7.012328774019901e-06,779.44921875
48092,34416,5956,standard,from_u,0.13780497712346867,4.381563728827834,-21.701659214324295,-21.701659214324295,y,0.05600000000000001,y,_default_spsolve,gmres-phase,1,57,True,True,nan,7.37721245617797e-11,3.433849211494158e-11,7.37721630409892e-11,42.39069291949272,4.0978193283081055e-06,8.435306549072266,31.266566187143326,2.234402120113373,0.20147137343883514,1.0,1e-05,-21.701659214324295,0.05600000000000001,4,8,True,2.0344435015349857e-06,8.793962659247071e-06,824.6953125
48092,34416,5956,standard,from_u,0.2140417049998853,7.499999649264578,-25.248024811924076,-25.248024811924076,y,0.07,y,_default_spsolve,gmres-phase,1,56,True,True,nan,8.540548983522195e-11,4.771535853362819e-11,8.540554037485374e-11,63.733518078923225,5.796551704406738e-06,12.953297421336174,47.08153201639652,3.055140644311905,0.2814381271600723,1.0,1e-05,-25.248024811924076,0.07,5,12,True,1.5760288339993059e-06,6.683288006989691e-06,827.28515625
48092,34416,5956,standard,from_u,0.2303581071104472,8.321852029321679,-25.744606240543753,-25.744606240543753,y,0.0722,y,_default_spsolve,gmres-phase,1,56,True,True,nan,8.260522271431928e-11,3.14038560746564e-11,8.260524227311213e-11,74.51415418088436,5.0514936447143555e-06,15.308366477489471,54.85834641754627,3.7201374620199203,0.33894574642181396,1.0,1e-05,-25.744606240543753,0.0722,6,14,True,1.5710144559195427e-06,7.35122955118839e-06,879.35546875
48092,34416,5956,standard,from_u,0.24684172849019245,9.194259182587192,-26.200209257962218,-26.200209257962218,y,0.07440000000000001,y,_default_spsolve,gmres-phase,1,56,True,True,nan,8.063382885446287e-11,3.3136223144951594e-11,8.063383143107977e-11,80.71471045911312,5.856156349182129e-06,16.542770102620125,59.4342116266489,4.072632476687431,0.3546901345252991,1.0,1e-05,-26.200209257962218,0.07440000000000001,7,15,True,1.577384170206598e-06,6.959343369707938e-06,855.23046875
48092,34416,5956,standard,from_u,0.26447372647166945,10.188030448163145,-26.625347740922027,-26.625347740922027,y,0.0766,y,_default_spsolve,gmres-phase,1,56,True,True,nan,7.641880758705923e-11,5.824590080400087e-11,7.641882648760293e-11,85.65485714375973,5.513429641723633e-06,17.57815533876419,63.063707023859024,4.29830738902092,0.3620022237300873,1.0,1e-05,-26.625347740922027,0.0766,8,16,True,2.1387435425990765e-06,9.356197997198316e-06,895.73046875
48092,34416,5956,standard,from_u,0.2839760344530015,11.372413106751878,-27.021235302590096,-27.021235302590096,y,0.07880000000000001,y,_default_spsolve,gmres-phase,1,56,True,True,nan,7.327624443572848e-11,2.5487255099528978e-11,7.327625026869663e-11,96.07649740576744,4.0531158447265625e-06,18.632129296660423,72.1092364937067,4.631900951266289,0.42589929699897766,1.0,1e-05,-27.021235302590096,0.07880000000000001,9,18,True,2.009528883655974e-06,8.87825205989606e-06,897.1015625
48092,34416,5956,standard,from_u,0.3062890500890429,12.852441741259213,-27.38546322924651,-27.38546322924651,y,0.081,y,_default_spsolve,gmres-phase,1,56,True,True,nan,7.006287698536043e-11,3.0466851143469944e-11,7.006289336968902e-11,111.38314090669155,5.140900611877441e-06,23.41812551021576,81.1177186369896,5.968902766704559,0.491161584854126,1.0,1e-05,-27.38546322924651,0.081,10,21,True,1.6431300679201303e-06,7.410214235031438e-06,894.61328125
48092,34416,5956,standard,from_u,0.33310956246750145,14.833400676639613,-27.71172858548465,-27.71172858548465,y,0.08320000000000001,y,_default_spsolve,gmres-phase,1,55,True,True,nan,9.836494715624368e-11,2.749903786611257e-11,9.836494499747742e-11,132.77620014548302,4.842877388000488e-06,29.59949593245983,95.51679933071136,6.747753918170929,0.5847398489713669,1.0,1e-05,-27.71172858548465,0.08320000000000001,11,25,True,1.6132187835471167e-06,7.50703099371394e-06,905.98046875
48092,34416,5956,standard,from_u,0.36833375491560727,17.903321496473605,-27.984123856680586,-27.984123856680586,y,0.0854,y,_default_spsolve,gmres-phase,1,55,True,True,nan,9.397322429101808e-11,3.740410360340373e-11,9.397322984811053e-11,179.57045055925846,4.082918167114258e-06,39.12097178399563,129.83771394193172,9.463939502835274,0.7333331257104874,1.0,1e-05,-27.984123856680586,0.0854,12,32,True,1.6424831550050512e-06,8.003362375259177e-06,905.8359375
