step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
2,0.028000000000000004,4,17120,12120,2150,0.004165936505698797,0.018439582872725242,0.007953644307763507,0.02172948518201952,0.09679153183305181,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.0017643500241023e-11,2.6460013058244513e-15,0.11416112491860986,0.37798895919695497,0.020326165948063135,0.00283791683614254,0.4921500841155648,0.023164082784205675,0.5163453747518361
2,0.028000000000000004,5,17120,12120,2150,0.0015111461203712313,0.008111677547409935,0.0028850940771776006,0.009558924314306588,0.09712999516274771,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.578214971599121e-11,2.8602588738618562e-15,0.11492370814085007,0.38175445841625333,0.01985958404839039,0.0027944999746978283,0.4966781665571034,0.022654084023088217,0.5200487081892788
2,0.028000000000000004,6,17120,12120,2150,0.0007183122955843957,0.003225116751462823,0.001371408443973159,0.0038005266792044846,0.09735820144646454,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,9.379680358795137e-12,2.766097050850109e-15,0.11431154189631343,0.38085162499919534,0.02004954218864441,0.0027673752047121525,0.49516316689550877,0.02281691739335656,0.5187000422738492
2,0.028000000000000004,7,17120,12120,2150,0.0002447914568611506,0.001303702319346891,0.00046735810178322385,0.0015363026607242312,0.09752671199915287,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.417616922997686e-12,2.772401265611317e-15,0.11504562478512526,0.3764895829372108,0.02034937497228384,0.002802459057420492,0.49153520772233605,0.023151834029704332,0.5154374167323112
2,0.028000000000000004,8,17120,12120,2150,7.910907203948048e-05,0.00047147505552769497,0.0001510357682260747,0.0005555933831851779,0.09759415001537533,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.012832467951518e-11,2.6219005304455835e-15,0.11473304219543934,0.36539054196327925,0.019834250211715698,0.0028474577702581882,0.4801235841587186,0.022681707981973886,0.5035452079027891
2,0.028000000000000004,9,17120,12120,2150,2.3197106927148656e-05,0.00013709340694344956,4.42881299835723e-05,0.00016155295785657805,0.09760752828062769,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.0605219441743414e-11,2.650503101575376e-15,0.11407479178160429,0.37767841666936874,0.020183958113193512,0.0027961251325905323,0.49175320845097303,0.022980083245784044,0.5154763329774141
2,0.028000000000000004,10,17120,12120,2150,6.200890825606156e-06,3.369950282569489e-05,1.1838797819092643e-05,3.9712007172108944e-05,0.09760959896807432,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.3373332268481234e-11,1.6550756496036793e-15,0.11495495773851871,0.38006591610610485,0.02007187530398369,0.002773292362689972,0.49502087384462357,0.02284516766667366,0.5186042916029692
2,0.028000000000000004,11,17120,12120,2150,1.935203778470544e-06,8.671572230222618e-06,3.694708859806018e-06,1.0218712732387633e-05,0.09760990652851209,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.89582924741275e-12,1.5132677509182637e-15,0.11481312522664666,0.37809312529861927,0.020206458866596222,0.002844291739165783,0.49290625052526593,0.023050750605762005,0.5167401670478284
2,0.028000000000000004,12,17120,12120,2150,7.337548934482006e-07,2.9036409817354113e-06,1.400891593903196e-06,3.42169473800029e-06,0.09760995190576029,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.2060676607628398e-11,1.505417314323613e-15,0.11371091706678271,0.3807657081633806,0.022335707675665617,0.0027656666934490204,0.49447662523016334,0.025101374369114637,0.520310000050813
3,0.04200000000000001,1,17120,12120,2150,0.5565508766504258,1.5442811615369052,1.0,1.0,0.19759823008183422,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.4596753113038466e-11,3.2035364373129183e-15,0.11744970874860883,0.36474004201591015,0.020539874676615,0.002819583285599947,0.482189750764519,0.023359457962214947,0.5062617077492177
