gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d,rss_mb
10924,7680,1384,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,1.80237278342247,7.033348083496094e-06,0.9081822335720062,0.0002240389585494995,0.6580018848180771,0.00018315017223358154,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0,217.265625
10924,7680,1384,standard,from_u,0.00923608526426939,0.6071200791731317,-6.021806796483015,-6.021806796483015,y,0.014000000000000002,y,gmres-auxspace,gmres-phase,5,33,True,True,nan,6.350576524541372e-11,8.333028119202462e-09,6.350575593333657e-11,11.867050647735596,7.0035457611083984e-06,2.9759000688791275,8.000528663396835,0.8031471073627472,0.022026628255844116,1.0,1e-05,-6.021806796483015,0.014000000000000002,1,4,True,7.791456941909849e-08,5.402933134723902e-07,376.56640625
10924,7680,1384,standard,from_u,0.036608418634189906,2.419613460584796,-11.745745174373265,-11.745745174373265,y,0.028000000000000004,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,9.158452874568658e-11,8.003453391198917e-09,9.158454684504448e-11,16.42561499774456,3.933906555175781e-06,3.782095819711685,11.53620232641697,1.0148039162158966,0.030452460050582886,1.0,1e-05,-11.745745174373265,0.028000000000000004,2,5,True,4.794057318888384e-07,2.2884486890027866e-06,401.67578125
10924,7680,1384,standard,from_u,0.08133876714487535,5.3850272378925865,-16.912927276266704,-16.912927276266704,y,0.04200000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,8.304039003341082e-11,7.962355894687151e-09,8.304037483091948e-11,18.83944346010685,4.336237907409668e-06,4.313387051224709,13.249228373169899,1.183024600148201,0.03477850556373596,1.0,1e-05,-16.912927276266704,0.04200000000000001,3,6,True,2.0220105763325796e-06,8.758850409880991e-06,405.0
10924,7680,1384,standard,from_u,0.1431287327894505,9.40117966257627,-21.330645989670508,-21.330645989670508,y,0.05600000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.565277095375017e-11,8.82161831807673e-09,7.565277617693792e-11,29.757920756936073,3.6954879760742188e-06,6.792510583996773,21.103980034589767,1.7451608031988144,0.054796576499938965,1.0,1e-05,-21.330645989670508,0.05600000000000001,4,9,True,7.681084003929504e-07,3.1892594238706673e-06,418.515625
10924,7680,1384,standard,from_u,0.2249735666648603,14.32193149292685,-24.873234757620352,-24.873234757620352,y,0.07,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.631945205099857e-11,8.838496209477189e-09,6.631944814211708e-11,41.85444590449333,5.200505256652832e-06,10.091743052005768,28.861654937267303,2.7614212930202484,0.07089006900787354,1.0,1e-05,-24.873234757620352,0.07,5,13,True,1.072513060310135e-06,4.352001424144844e-06,418.30859375
10924,7680,1384,standard,from_u,0.24335941608190467,14.756590989497143,-25.374177301027814,-25.374177301027814,y,0.0722,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.387504502390745e-11,9.860169457958214e-09,6.387504534580777e-11,46.82892329990864,4.410743713378906e-06,11.00303627550602,32.74593102931976,2.921855017542839,0.0829194188117981,1.0,1e-05,-25.374177301027814,0.0722,6,15,True,1.269141736837556e-06,5.755715988070752e-06,440.07421875
10924,7680,1384,standard,from_u,0.2618768258486185,15.591111455914728,-25.830548045716363,-25.830548045716363,y,0.07440000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.14847162598498e-11,9.170073028698979e-09,6.148472587970955e-11,51.107793629169464,4.4852495193481445e-06,11.751460909843445,35.87229706346989,3.3053708225488663,0.08912764489650726,1.0,1e-05,-25.830548045716363,0.07440000000000001,7,16,True,1.4642943797563576e-06,6.189098042295987e-06,447.8828125
10924,7680,1384,standard,from_u,0.2819247482143836,16.449541313525224,-26.256283072658373,-26.256283072658373,y,0.0766,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,5.894303527008723e-11,8.778571102979153e-09,5.894303486598279e-11,55.471641942858696,5.334615707397461e-06,12.964161112904549,38.9454452842474,3.3883641958236694,0.09522277116775513,1.0,1e-05,-26.256283072658373,0.0766,8,17,True,2.320378250123973e-06,9.762106125222055e-06,458.234375
10924,7680,1384,standard,from_u,0.3044878303385599,17.32785395401008,-26.651231353160547,-26.651231353160547,y,0.07880000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,5.5717703366439837e-11,8.47830237248814e-09,5.571769890972526e-11,65.19157341122627,4.306435585021973e-06,15.61690005660057,45.2721970975399,4.11221344769001,0.10825824737548828,1.0,1e-05,-26.651231353160547,0.07880000000000001,9,20,True,1.5984587687383948e-06,6.805788771392125e-06,462.09765625
