gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,reaction_y,disp_y,step,iters,converged,err_u,err_d
319114,230688,38996,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,0.0,0.0,323.0283452500589,6.11674040555954e-05,27.30433408403769,283.8619437920861,1.0788449170067906,0.49877787521108985,-0.0,0.0,0,1,True,0.0,0.0
319114,230688,38996,standard,from_u,0.009057368450120406,0.26362070235841534,-6.167109930966729,-6.167109930966729,y,0.014000000000000002,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.1708642531297274e-09,1.6264571917512888e-14,940.4912372501567,1.4416873455047607e-05,78.27348775044084,835.9431921248324,4.278437999077141,1.4670611671172082,-6.167109930966729,0.014000000000000002,1,4,True,6.128685415799754e-08,4.4386014961695833e-07
319114,230688,38996,standard,from_u,0.03578762742276306,1.0285157414338613,-12.014022424255378,-12.014022424255378,y,0.028000000000000004,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.207608374404987e-10,1.4737791153387013e-14,1472.8104635411873,2.7374830096960068e-05,119.8152991682291,1332.2708708755672,3.47500621015206,1.3815048756077886,-12.014022424255378,0.028000000000000004,2,5,True,3.748029372206723e-07,1.8393325009445703e-06
319114,230688,38996,standard,from_u,0.009057368450120406,0.26362070235841534,-6.167109930966729,-6.167109930966729,y,0.014000000000000002,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.1708642531297274e-09,1.6264571917512888e-14,1154.7207192922942,3.479188308119774e-05,95.20146658271551,1042.3300121673383,2.864465250633657,1.3589963326230645,-6.167109930966729,0.014000000000000002,1,4,True,6.128685415799754e-08,4.4386014961695833e-07
319114,230688,38996,standard,from_u,0.03578762742276306,1.0285157414338613,-12.014022424255378,-12.014022424255378,y,0.028000000000000004,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.207608374404987e-10,1.4737791153387013e-14,1460.9890964999795,3.7918798625469208e-06,119.51948224939406,1314.2372255427763,5.099728166125715,1.60894645890221,-12.014022424255378,0.028000000000000004,2,5,True,3.748029372206723e-07,1.8393325009445703e-06
319114,230688,38996,standard,from_u,0.03578762742276306,1.0285157414338613,-12.014022424255378,-12.014022424255378,y,0.028000000000000004,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.207608374404987e-10,1.4737791153387013e-14,1440.920090790838,3.733299672603607e-05,114.87762845726684,1306.8854842069559,2.9878026666119695,1.3670131242834032,-12.014022424255378,0.028000000000000004,2,5,True,3.748029372206723e-07,1.8393325009445703e-06
319114,230688,38996,standard,from_u,0.07906505318303414,2.341441889227341,-17.266175772624983,-17.266175772624983,y,0.04200000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,9.48103937021364e-10,1.3768071727248501e-14,1668.6448935000226,0.000610582996159792,126.66836633300409,1520.3021952081472,3.574665042106062,1.8429250428453088,-17.266175772624983,0.04200000000000001,3,6,True,1.5343196416169833e-06,6.827045219979197e-06
319114,230688,38996,standard,from_u,0.07906505318303414,2.341441889227341,-17.266175772624983,-17.266175772624983,y,0.04200000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,9.48103937021364e-10,1.3768071727248501e-14,1666.9586102920584,3.987504169344902e-05,102.79987170919776,1538.0607681674883,3.950171248987317,1.8666697912849486,-17.266175772624983,0.04200000000000001,3,6,True,1.5343196416169833e-06,6.827045219979197e-06
319114,230688,38996,standard,from_u,0.07906505318303414,2.341441889227341,-17.266175772624983,-17.266175772624983,y,0.04200000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,9.48103937021364e-10,1.3768071727248501e-14,1310.817373665981,5.917157977819443e-06,84.20935770729557,1198.850749250967,4.149698917288333,1.4459572485648096,-17.266175772624983,0.04200000000000001,3,6,True,1.5343196416169833e-06,6.827045219979197e-06
319114,230688,38996,standard,from_u,0.13787823909584832,4.350368676955043,-21.72595262479017,-21.72595262479017,y,0.05600000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.4628997969741833e-10,1.3783613758045244e-14,1759.1339310002513,4.041939973831177e-06,118.86731308186427,1606.6188859585673,5.561111374758184,2.1370503338985145,-21.72595262479017,0.05600000000000001,4,8,True,1.9744195519091658e-06,8.444476594269357e-06
319114,230688,38996,standard,from_u,0.13787823909584832,4.350368676955043,-21.72595262479017,-21.72595262479017,y,0.05600000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.4628997969741833e-10,1.3783613758045244e-14,1946.1711604581214,7.459428161382675e-06,87.21602458367124,1814.1889409571886,6.659827373921871,1.8437557108700275,-21.72595262479017,0.05600000000000001,4,8,True,1.9744195519091658e-06,8.444476594269357e-06
319114,230688,38996,standard,from_u,0.13787823909584832,4.350368676955043,-21.72595262479017,-21.72595262479017,y,0.05600000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.4628997969741833e-10,1.3783613758045244e-14,1825.7274972503074,4.250090569257736e-06,121.64552803942934,1665.425388125237,6.468239126261324,2.215108623262495,-21.72595262479017,0.05600000000000001,4,8,True,1.9744195519091658e-06,8.444476594269357e-06
319114,230688,38996,standard,from_u,0.21371955476559298,7.449803647735891,-25.27527063668251,-25.27527063668251,y,0.07,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.269092361795612e-10,1.2086417068255406e-14,2725.4765637088567,4.4996850192546844e-06,158.7691045422107,2515.1206774981692,7.441898916382343,2.913411291781813,-25.27527063668251,0.07,5,12,True,1.4870918442031053e-06,6.230208255687849e-06
