step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
3,0.04200000000000001,5,319114,230688,38996,2.2754524921802114e-05,0.00011422489383558127,1.0236461150365181e-05,4.4913537343862604e-05,0.07906414882601337,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.499285453228666e-10,1.462415403114624e-14,18.296402625273913,270.45614741696045,0.5368820833973587,0.23144670901820064,288.75255004223436,0.7683287924155593,292.2389987921342
3,0.04200000000000001,4,319114,230688,38996,0.0001558488690854669,0.0007600725697917614,7.011092954936469e-05,0.0002988625911662172,0.07905833255723718,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.4803447620284117e-09,1.4575745474245618e-14,16.30591250024736,271.9000376253389,0.5590816671028733,0.25610850006341934,288.20595012558624,0.8151901671662927,291.7681343341246
3,0.04200000000000001,1,319114,230688,38996,2.2228897846195954,2.5432174927809377,1.0,1.0,0.0771669795444239,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.708604245469535e-10,1.6613759963451193e-14,14.35858720773831,207.78255200013518,0.4737279168330133,0.19672533310949802,222.1411392078735,0.6704532499425113,225.55123270815238
3,0.04200000000000001,6,319114,230688,38996,3.410623457691591e-06,1.736266082745758e-05,1.5343196416169833e-06,6.827045219979197e-06,0.07906505318303414,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,9.48103937021364e-10,1.3768071727248501e-14,15.003739374689758,209.8024888341315,0.4605242498219013,0.22019720915704966,224.80622820882127,0.680721458978951,227.4817785420455
3,0.04200000000000001,5,319114,230688,38996,2.2754524921802114e-05,0.00011422489383558127,1.0236461150365181e-05,4.4913537343862604e-05,0.07906414882601337,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.499285453228666e-10,1.462415403114624e-14,15.318885541986674,210.13205954199657,0.5259722080081701,0.27767412504181266,225.45094508398324,0.8036463330499828,228.0625764587894
4,0.05600000000000001,1,319114,230688,38996,2.2215500026487462,3.333768974501256,1.0,1.0,0.1326117367080344,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.163532575525857e-10,1.6163546245128845e-14,12.572682624682784,198.80231937533244,0.47292370814830065,0.20371941709890962,211.37500200001523,0.6766431252472103,214.5108204158023
3,0.04200000000000001,2,319114,230688,38996,0.01665146737678964,0.040281258155064156,0.007490910027120043,0.015838699705945213,0.07877955224645498,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.0568025889392836e-09,1.5482235383025653e-14,11.180916832759976,202.5469718752429,0.5122144580818713,0.22298099985346198,213.72788870800287,0.7351954579353333,216.9621443748474
3,0.04200000000000001,6,319114,230688,38996,3.410623457691591e-06,1.736266082745758e-05,1.5343196416169833e-06,6.827045219979197e-06,0.07906505318303414,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,9.48103937021364e-10,1.3768071727248501e-14,12.416503333020955,302.4740796252154,0.998695916030556,0.21836675005033612,314.89058295823634,1.217062666080892,323.6169597078115
4,0.05600000000000001,2,319114,230688,38996,0.030735167888345936,0.09648392326967321,0.01383501062397898,0.028941394562023468,0.1364872743108254,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.607867600282313e-10,1.5462626652451534e-14,12.78500987496227,207.77115854108706,0.5487946672365069,0.1988998749293387,220.55616841604933,0.7476945421658456,227.11961883399636
3,0.04200000000000001,3,319114,230688,38996,0.0011381954831672428,0.005202173060498917,0.000512034150789902,0.0020455085242475604,0.07902095606694769,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.634324158589483e-10,1.5191281641329678e-14,13.001271874643862,212.6169571671635,0.5785674168728292,0.21865395782515407,225.61822904180735,0.7972213746979833,228.74448858294636
