gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d,rss_mb
10924,7680,1384,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,1.4197238981723785,6.631016731262207e-06,0.6835377067327499,0.00018149614334106445,0.5061016082763672,0.00015792250633239746,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0,235.16796875
10924,7680,1384,standard,from_u,0.009236085264269332,0.6071200791731263,-6.021806796482627,-6.021806796482627,y,0.014000000000000002,y,gmres-auxspace,gmres-phase,5,33,True,True,nan,6.350574593062597e-11,8.427033974916187e-09,6.350575700719954e-11,11.490061596035957,5.677342414855957e-06,2.9380053728818893,7.684761002659798,0.7849275320768356,0.022228792309761047,1.0,1e-05,-6.021806796482627,0.014000000000000002,1,4,True,7.791456950858144e-08,5.402933137669735e-07,404.5
10924,7680,1384,standard,from_u,0.03660841863418992,2.4196134605848756,-11.745745174373221,-11.745745174373221,y,0.028000000000000004,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,9.158453012628468e-11,8.006464229169838e-09,9.158452881595945e-11,16.0069742500782,3.4123659133911133e-06,3.600339189171791,11.344082191586494,0.9801894426345825,0.030563488602638245,1.0,1e-05,-11.745745174373221,0.028000000000000004,2,5,True,4.794057318517618e-07,2.28844868886189e-06,413.7578125
10924,7680,1384,standard,from_u,0.08133876714487528,5.38502723789259,-16.912927276266743,-16.912927276266743,y,0.04200000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,8.304038998836755e-11,7.960343430014297e-09,8.304040766799063e-11,19.116047248244286,4.4405460357666016e-06,4.522962912917137,13.336548522114754,1.1583436876535416,0.035191431641578674,1.0,1e-05,-16.912927276266743,0.04200000000000001,3,6,True,2.022010576283783e-06,8.758850409803149e-06,399.1953125
10924,7680,1384,standard,from_u,0.14312873278945037,9.40117966257627,-21.330645989670646,-21.330645989670646,y,0.05600000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.565277151153549e-11,8.812099593114939e-09,7.565276807536185e-11,27.94858556985855,4.604458808898926e-06,6.734660908579826,19.384523689746857,1.7093004435300827,0.050844013690948486,1.0,1e-05,-21.330645989670646,0.05600000000000001,4,9,True,7.681084004230055e-07,3.189259424004071e-06,437.92578125
10924,7680,1384,standard,from_u,0.22497356666485985,14.321931492926833,-24.87323475762054,-24.87323475762054,y,0.07,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.631945269206476e-11,8.828042746407516e-09,6.631943959302164e-11,40.74576425552368,3.0994415283203125e-06,9.699794113636017,28.29589505493641,2.6223453879356384,0.06915974617004395,1.0,1e-05,-24.87323475762054,0.07,5,13,True,1.0725130602294793e-06,4.352001424034995e-06,432.53125
10924,7680,1384,standard,from_u,0.243359416081901,14.756590989497111,-25.3741773010269,-25.3741773010269,y,0.0722,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.387502316492723e-11,9.91182704249683e-09,6.387500681256406e-11,49.08178298175335,3.874301910400391e-06,11.844607040286064,34.02044481039047,3.0677365958690643,0.08531373739242554,1.0,1e-05,-25.3741773010269,0.0722,6,15,True,1.2691417351289914e-06,5.755716117703331e-06,444.87109375
10924,7680,1384,standard,from_u,0.261876825848619,15.591111455914994,-25.83054804571626,-25.83054804571626,y,0.07440000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.148471394270232e-11,9.172005461547799e-09,6.148471593871887e-11,51.762356117367744,4.693865776062012e-06,11.690800845623016,36.87947541475296,3.029041200876236,0.09039205312728882,1.0,1e-05,-25.83054804571626,0.07440000000000001,7,16,True,1.464294377585454e-06,6.189098042133047e-06,455.12109375
10924,7680,1384,standard,from_u,0.2819247482143836,16.449541313525142,-26.256283072658096,-26.256283072658096,y,0.0766,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,5.894303640579121e-11,8.789706526627156e-09,5.894303422935508e-11,54.27770408987999,4.187226295471191e-06,12.99431100487709,37.66027136147022,3.4562977999448776,0.0946904718875885,1.0,1e-05,-26.256283072658096,0.0766,8,17,True,2.3203782526451542e-06,9.762106128891881e-06,456.83203125
10924,7680,1384,standard,from_u,0.3044878303385639,17.327853954010312,-26.651231353160767,-26.651231353160767,y,0.07880000000000001,y,gmres-auxspace,gmres-phase,5,32,True,True,nan,5.571770559747924e-11,8.473743772126073e-09,5.571770303048645e-11,66.04417918622494,3.993511199951172e-06,15.177664443850517,46.729748889803886,3.949511796236038,0.10732206702232361,1.0,1e-05,-26.651231353160767,0.07880000000000001,9,20,True,1.5984587688892954e-06,6.805788770103749e-06,423.83203125
