step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,48092,34416,5956,0.0,0.0,0.0,0.0,0.0,1.0,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,0.9864044487476349,0.000298231840133667,0.8291887044906616,0.00027216970920562744,0.9867026805877686,0.8294608741998672,1.820849433541298
1,0.014000000000000002,1,48092,34416,5956,0.8615541583331329,0.21117043810796807,1.0,1.0,0.008990322672009735,1.0,gmres-auxspace,gmres-phase,6,61,True,True,nan,7.247503259139206e-11,8.475664828197675e-09,7.247507092829092e-11,1.1412387490272522,17.993094384670258,0.28706105053424835,0.027966976165771484,19.13433313369751,0.31502802670001984,19.456380501389503
1,0.014000000000000002,2,48092,34416,5956,0.0004366241329958892,0.0003836801056348108,0.0005067866352599762,0.0018169214832932312,0.00902893973026458,1.0,gmres-auxspace,gmres-phase,6,60,True,True,nan,7.282015097529915e-11,8.626353187219614e-09,7.282012448977303e-11,1.1137007474899292,16.471143305301666,0.25933095812797546,0.02346336841583252,17.584844052791595,0.282794326543808,17.871948584914207
1,0.014000000000000002,3,48092,34416,5956,3.3819057333846136e-06,5.6969502101993e-06,3.925354779701439e-06,2.6977972206917242e-05,0.009029632909548696,1.0,gmres-auxspace,gmres-phase,6,58,True,True,nan,8.272715689752953e-11,8.625615164105403e-09,8.272706626859951e-11,0.9066989421844482,16.512056186795235,0.23897363245487213,0.02559378743171692,17.418755128979683,0.26456741988658905,17.687366113066673
1,0.014000000000000002,4,48092,34416,5956,5.312029292135025e-08,9.510451020541825e-08,6.165635950747799e-08,4.5036848461143426e-07,0.009029645222975587,1.0,gmres-auxspace,gmres-phase,6,58,True,True,nan,8.789205401317844e-11,8.625566273557327e-09,8.789203145189476e-11,1.0741474628448486,16.49519470334053,0.2638693302869797,0.025004863739013672,17.56934216618538,0.28887419402599335,17.862571328878403
2,0.028000000000000004,1,48092,34416,5956,0.8614476768682295,0.6191666901163296,1.0,1.0,0.035198911035253536,1.0,gmres-auxspace,gmres-phase,6,61,True,True,nan,7.35163051875662e-11,8.625662128556284e-09,7.351627855533957e-11,0.9848255664110184,16.583457931876183,0.22968168556690216,0.024621903896331787,17.5682834982872,0.25430358946323395,17.82648427784443
2,0.028000000000000004,2,48092,34416,5956,0.00259789600316242,0.004399022451451613,0.0030157327867050532,0.007104746624249312,0.03565551782616323,1.0,gmres-auxspace,gmres-phase,6,60,True,True,nan,7.105266978268418e-11,7.955774550101156e-09,7.105264082851704e-11,1.0243130922317505,18.740427181124687,0.22554324567317963,0.026904985308647156,19.764740273356438,0.2524482309818268,20.02103443443775
2,0.028000000000000004,3,48092,34416,5956,7.947275179576948e-05,0.0002581794090567051,9.225487969819663e-05,0.00041697884136531653,0.035687042863161336,1.0,gmres-auxspace,gmres-phase,6,58,True,True,nan,7.286170966420943e-11,8.52478997012922e-09,7.286171420370445e-11,1.0287109911441803,16.737970665097237,0.26536355912685394,0.025159701704978943,17.766681656241417,0.2905232608318329,18.061361998319626
2,0.028000000000000004,4,48092,34416,5956,4.9349141643039714e-06,1.7082269247063037e-05,5.728629023929489e-06,2.7589128290886584e-05,0.03568926582233399,1.0,gmres-auxspace,gmres-phase,6,58,True,True,nan,7.393422575610324e-11,8.556197936189045e-09,7.39341750196754e-11,1.0596972852945328,16.45020441710949,0.2652357667684555,0.02530805766582489,17.509901702404022,0.2905438244342804,17.80465431511402
2,0.028000000000000004,5,48092,34416,5956,3.261329823750015e-07,1.1621654992396942e-06,3.7858710532559495e-07,1.876983238586923e-06,0.03568942260408418,1.0,gmres-auxspace,gmres-phase,6,58,True,True,nan,7.667067485936675e-11,8.558013360713906e-09,7.66706716128255e-11,0.9989593029022217,16.283130928874016,0.26438108086586,0.02537594735622406,17.282090231776237,0.28975702822208405,17.575891882181168
3,0.04200000000000001,1,48092,34416,5956,0.8611330089340629,0.9866175911903872,1.0,1.0,0.07696635330543868,1.0,gmres-auxspace,gmres-phase,6,61,True,True,nan,7.402201027220732e-11,8.557998160322076e-09,7.40219642429201e-11,1.0195349156856537,16.764194384217262,0.24206535518169403,0.023601889610290527,17.783729299902916,0.26566724479198456,18.053442239761353
3,0.04200000000000001,2,48092,34416,5956,0.006423909248291701,0.0157259807705724,0.0074598339416153785,0.015939286822971077,0.07860944312821361,1.0,gmres-auxspace,gmres-phase,6,59,True,True,nan,9.658471135745313e-11,8.444668116843965e-09,9.658472718804197e-11,0.9816575050354004,18.46677727997303,0.26462455093860626,0.026266470551490784,19.44843478500843,0.29089102149009705,19.743974328041077
3,0.04200000000000001,3,48092,34416,5956,0.0004430114354586216,0.002041107015700773,0.0005144518104200824,0.002068792441900523,0.0788604256423625,1.0,gmres-auxspace,gmres-phase,6,57,True,True,nan,9.429711767054803e-11,8.425747648332894e-09,9.429716197390358e-11,0.8362711817026138,16.758139982819557,0.26607646048069,0.025162741541862488,17.59441116452217,0.2912392020225525,17.88992339372635
3,0.04200000000000001,4,48092,34416,5956,6.0817904987323115e-05,0.0002996531623658222,7.062544851532913e-05,0.0003037176359325609,0.07889977950038897,1.0,gmres-auxspace,gmres-phase,6,57,True,True,nan,8.773787557228083e-11,8.395430747775323e-09,8.773789839689373e-11,0.9750823825597763,16.69932594895363,0.24220408499240875,0.025623485445976257,17.674408331513405,0.267827570438385,17.946139693260193
3,0.04200000000000001,5,48092,34416,5956,8.91563166515777e-06,4.527795434144211e-05,1.0353373488950115e-05,4.589210120084392e-05,0.07890595309964095,1.0,gmres-auxspace,gmres-phase,6,57,True,True,nan,8.882465110956286e-11,8.345921671788531e-09,8.882464667851434e-11,1.0505226105451584,16.618396043777466,0.2362547218799591,0.025282040238380432,17.668918654322624,0.26153676211833954,17.934147283434868
3,0.04200000000000001,6,48092,34416,5956,1.342866546613823e-06,6.918486812743081e-06,1.5594182695145606e-06,7.012328661599977e-06,0.07890691768771183,1.0,gmres-auxspace,gmres-phase,6,57,True,True,nan,9.557200091240876e-11,8.337296637103245e-09,9.557196555567061e-11,1.1398384124040604,16.43669031560421,0.2584060728549957,0.021542176604270935,17.57652872800827,0.27994824945926666,17.86066122353077
4,0.05600000000000001,1,48092,34416,5956,0.8606226545519022,1.2932775864016959,1.0,1.0,0.13237392412730353,1.0,gmres-auxspace,gmres-phase,6,61,True,True,nan,7.674728906438056e-11,8.435840547595508e-09,7.674720554242004e-11,1.0301854461431503,17.896083652973175,0.26786942780017853,0.028648048639297485,18.926269099116325,0.296517476439476,19.227191627025604
4,0.05600000000000001,2,48092,34416,5956,0.011848140619276746,0.03766453026271879,0.013766940199181349,0.02912331479238988,0.1363424762879447,1.0,gmres-auxspace,gmres-phase,6,59,True,True,nan,8.512424896120866e-11,8.53521185632233e-09,8.512422263584515e-11,1.0718651711940765,16.416902020573616,0.244973286986351,0.02548961341381073,17.488767191767693,0.27046290040016174,17.763020411133766
4,0.05600000000000001,3,48092,34416,5956,0.001494313574915987,0.008525036819036536,0.0017363168015766754,0.006591807442326333,0.13740266760463987,1.0,gmres-auxspace,gmres-phase,6,57,True,True,nan,8.152754911808882e-11,8.472474684379512e-09,8.15275033549636e-11,1.0594120174646378,16.65818114578724,0.2634477913379669,0.02438013255596161,17.717593163251877,0.28782792389392853,18.010474741458893
4,0.05600000000000001,4,48092,34416,5956,0.0003573294827791027,0.0021908438144364723,0.00041519878763260343,0.0016940244209536542,0.13769460041107212,1.0,gmres-auxspace,gmres-phase,6,57,True,True,nan,6.713091774064141e-11,8.52710964580757e-09,6.713099723452376e-11,0.9855467230081558,16.183448612689972,0.2674635648727417,0.020312413573265076,17.168995335698128,0.2877759784460068,17.460948318243027
