gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_x,disp_x,step,iters,converged,err_u,err_d
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00013000000000000002,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.965292096138,4.202127456665039e-06,14.927533715963364,3.309072494506836,0.9777341336011887,10.841066673398018,1.0,1e-05,-0.0,0.00013000000000000002,13,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00014000000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,36.013377264142036,4.351139068603516e-06,15.08032651245594,3.324135184288025,0.9570969641208649,10.749039649963379,1.0,1e-05,-0.0,0.00014000000000000001,14,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00015000000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.68836934864521,5.7220458984375e-06,14.844461232423782,3.2890759110450745,0.999561607837677,10.690224528312683,1.0,1e-05,-0.0,0.00015000000000000001,15,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00016,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.7302982211113,3.978610038757324e-06,14.998229280114174,3.314492240548134,0.9240860044956207,10.655281007289886,1.0,1e-05,-0.0,0.00016,16,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00017,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.948803171515465,4.038214683532715e-06,14.740426257252693,3.3199502676725388,1.0351456105709076,10.972212821245193,1.0,1e-05,-0.0,0.00017,17,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00018,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.76779107749462,3.919005393981934e-06,14.912018164992332,3.302219584584236,0.9506867080926895,10.755564391613007,1.0,1e-05,-0.0,0.00018,18,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00019,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.47078037261963,4.06801700592041e-06,14.778197631239891,3.2756073772907257,0.9920803308486938,10.616916790604591,1.0,1e-05,-0.0,0.00019,19,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0002,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.82450470328331,4.0978193283081055e-06,14.997317805886269,3.3202904760837555,0.91896191239357,10.741756096482277,1.0,1e-05,-0.0,0.0002,20,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00021,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,36.06525798141956,4.127621650695801e-06,15.076437562704086,3.3289007991552353,0.9873979836702347,10.722005113959312,1.0,1e-05,-0.0,0.00021,21,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00022,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.72762402892113,4.1425228118896484e-06,14.934236273169518,3.3066850304603577,0.9637228101491928,10.58409757912159,1.0,1e-05,-0.0,0.00022,22,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00023,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.853581577539444,4.0978193283081055e-06,14.900018438696861,3.306419461965561,0.9757622182369232,10.838068172335625,1.0,1e-05,-0.0,0.00023,23,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00024000000000000003,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.65761041641235,4.127621650695801e-06,14.86594745516777,3.296491965651512,1.0001024156808853,10.628297418355942,1.0,1e-05,-0.0,0.00024000000000000003,24,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00025,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.73662677407265,4.231929779052734e-06,14.964748114347458,3.312124028801918,1.0034663379192352,10.620509222149849,1.0,1e-05,-0.0,0.00025,25,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00026000000000000003,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.879673615098,3.844499588012695e-06,15.11921139061451,3.329440474510193,0.921949177980423,10.662685841321945,1.0,1e-05,-0.0,0.00026000000000000003,26,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00027,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.70026895403862,3.904104232788086e-06,14.805744633078575,3.281474396586418,0.9838594347238541,10.773748978972435,1.0,1e-05,-0.0,0.00027,27,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00028000000000000003,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.53609712421894,3.948807716369629e-06,14.87332010269165,3.3015769869089127,0.9654925763607025,10.571693241596222,1.0,1e-05,-0.0,0.00028000000000000003,28,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00029,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.807610005140305,4.127621650695801e-06,14.900688767433167,3.30630424618721,0.9964288920164108,10.771169260144234,1.0,1e-05,-0.0,0.00029,29,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00030000000000000003,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.51693394780159,3.814697265625e-06,14.814695715904236,3.3041775077581406,0.9741793572902679,10.590822771191597,1.0,1e-05,-0.0,0.00030000000000000003,30,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00031,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.881181463599205,3.874301910400391e-06,15.097079887986183,3.311641812324524,0.9281162768602371,10.644764378666878,1.0,1e-05,-0.0,0.00031,31,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00032,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,36.3007445782423,4.51505184173584e-06,15.427029460668564,3.3092165291309357,0.9286274611949921,10.772352278232574,1.0,1e-05,-0.0,0.00032,32,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00033000000000000005,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.81401810050011,4.1425228118896484e-06,14.905517935752869,3.279880240559578,0.9817112535238266,10.801785692572594,1.0,1e-05,-0.0,0.00033000000000000005,33,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00034,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.70244428515434,3.7550926208496094e-06,14.92539194226265,3.3152851909399033,0.950472041964531,10.64652806520462,1.0,1e-05,-0.0,0.00034,34,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00035000000000000005,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.65114217996597,8.821487426757812e-06,14.847341164946556,3.3043123185634613,0.9827204495668411,10.654561445116997,1.0,1e-05,-0.0,0.00035000000000000005,35,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00036,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,35.636801436543465,4.604458808898926e-06,14.792204588651657,3.2906297147274017,1.004998728632927,10.741522446274757,1.0,1e-05,-0.0,0.00036,36,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00037000000000000005,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,36.133865386247635,3.844499588012695e-06,15.01295556128025,3.433855041861534,0.9634767919778824,10.870177805423737,1.0,1e-05,-0.0,0.00037000000000000005,37,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00038,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,47.718532264232635,4.0084123611450195e-06,19.937533497810364,4.768194288015366,1.599552482366562,14.804211884737015,1.0,1e-05,-0.0,0.00038,38,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00039000000000000005,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,43.13300125300884,3.829598426818848e-06,15.125104442238808,4.724010169506073,1.5832203477621078,15.268575862050056,1.0,1e-05,-0.0,0.00039000000000000005,39,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0004,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,46.564428210258484,4.798173904418945e-06,17.84380830824375,3.7289892435073853,1.572009027004242,15.241613924503326,1.0,1e-05,-0.0,0.0004,40,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00041000000000000005,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,49.077619180083275,5.21540641784668e-06,19.540555745363235,4.830327063798904,1.520320862531662,15.03554943203926,1.0,1e-05,-0.0,0.00041000000000000005,41,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00042,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,49.35295709967613,4.5746564865112305e-06,19.53814797103405,4.851764470338821,1.5696969032287598,15.255806297063828,1.0,1e-05,-0.0,0.00042,42,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00043000000000000004,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,48.38337926566601,5.5283308029174805e-06,18.898048222064972,4.794544026255608,1.364180564880371,15.178528815507889,1.0,1e-05,-0.0,0.00043000000000000004,43,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00044,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,48.80626827478409,5.796551704406738e-06,19.216944113373756,5.001379504799843,1.43849278986454,15.055343672633171,1.0,1e-05,-0.0,0.00044,44,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00045000000000000004,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,48.295604377985,5.707144737243652e-06,18.889738455414772,4.749572321772575,1.486891120672226,15.052386701107025,1.0,1e-05,-0.0,0.00045000000000000004,45,1,True,0.0,0.0
