step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,3582,2460,131,0.0,0.0,0.0,0.0,0.0,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04033456742763519,0.054028913378715515,0.005720347166061401,8.80807638168335e-05,0.09436348080635071,0.005808427929878235,0.10036469995975494
1,0.05,1,3582,2460,131,250.69392952519593,0.4632825438985023,1.0,1.0,0.19605766715549588,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04328557848930359,0.054026708006858826,0.004470840096473694,0.0011332184076309204,0.09731228649616241,0.005604058504104614,0.10311087965965271
1,0.05,2,3582,2460,131,12197.141720663338,0.04183170736532271,48.65351843087795,0.09029415831926393,0.22285017490749456,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.044503673911094666,0.0536593496799469,0.004378333687782288,0.0010876357555389404,0.09816302359104156,0.005465969443321228,0.10382609069347382
1,0.05,3,3582,2460,131,380.5930151967914,0.008666208439040275,1.518158081919331,0.018706097506101804,0.22869171083569642,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04268881678581238,0.054017260670661926,0.0044617801904678345,0.001069769263267517,0.0967060774564743,0.0055315494537353516,0.10242816805839539
1,0.05,4,3582,2460,131,1220.172381424334,0.0020104224591568267,4.867179607161971,0.004339516965692706,0.23003891466413687,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04398852586746216,0.053748369216918945,0.004472032189369202,0.001099422574043274,0.0977368950843811,0.005571454763412476,0.10350321233272552
1,0.05,5,3582,2460,131,17068.953956350477,0.0004717896752149803,68.08682599007633,0.001018362727947595,0.23035399332988898,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04358106851577759,0.05433496832847595,0.004510432481765747,0.0010413676500320435,0.09791603684425354,0.0055518001317977905,0.10366073250770569
1,0.05,6,3582,2460,131,40664.027690775416,0.00011093136754802079,162.20587298540266,0.00023944646524891308,0.2304278806397397,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04375152289867401,0.054205089807510376,0.004308417439460754,0.0010956525802612305,0.09795661270618439,0.005404070019721985,0.10355715453624725
1,0.05,7,3582,2460,131,117757.08266331044,2.60965624935858e-05,469.72450783446396,5.6329690892267105e-05,0.2304452249806168,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04414743185043335,0.05365610122680664,0.004403263330459595,0.0010470449924468994,0.09780353307723999,0.005450308322906494,0.10345098376274109
1,0.05,8,3582,2460,131,134376.82533823902,6.140151031359683e-06,536.0194624287203,1.3253577351934266e-05,0.23044929872061362,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.04332256317138672,0.05200962722301483,0.004069134593009949,0.0009941458702087402,0.09533219039440155,0.005063280463218689,0.10058234632015228
1,0.05,9,3582,2460,131,32559.823633586533,1.444769854851978e-06,129.87878763260647,3.118550167451385e-06,0.23045025594398827,1.0,_default_spsolve,_default_lgmres,1,1,True,True,nan,nan,nan,nan,0.0400252491235733,0.05235378444194794,0.004008352756500244,0.0009799003601074219,0.09237903356552124,0.004988253116607666,0.09754294157028198
