step,load,iter,du_abs,dd_abs,err_u,err_d,max_d,linear_res_elastic,linear_res_phase,t_iter_s
7,0.0007,1,0.006930299697256688,0.19634564972970056,1.0,1.0,1.0,8.843753748813907e-09,4.0781050426059576e-16,2.6479248329997063
7,0.0007,2,0.00010510762075707214,0.009543981993595522,0.015166388951213505,0.0486080644350117,1.0,9.016504772483984e-09,4.2950271991253325e-16,3.180677500087768
7,0.0007,3,5.09454961031378e-06,0.00047786607910028174,0.0007351124529766617,0.002433800187364154,1.0,9.944269481884747e-09,3.787589442981846e-16,2.55902862502262
7,0.0007,4,2.5551068389814316e-07,2.4118603189777574e-05,3.6868634122603e-05,0.00012283747168822162,1.0,8.557310281532023e-09,3.6105122564085605e-16,2.47010129224509
7,0.0007,5,1.2919744375130526e-08,1.223093152580078e-06,1.8642403560476206e-06,6.229285722723423e-06,1.0,8.097590806498921e-09,3.731268796211757e-16,2.4877436668612063
8,0.0008,1,0.0069370161312518564,0.2123980738850443,1.0,1.0,1.0,9.592293189583103e-09,3.9523835213125293e-16,2.9019045839086175
8,0.0008,2,0.00012883307186899954,0.012392465579190303,0.018571828208470705,0.05834547061805018,1.0,2.5348608869401868e-08,4.609905585028407e-16,2.78626974998042
8,0.0008,3,7.480445346994215e-06,0.0007442978960254786,0.001078337603006884,0.0035042591602234266,1.0,1.490572725427209e-08,3.9641181839504694e-16,3.3384828749112785
8,0.0008,4,4.496905620256558e-07,4.5067011026018586e-05,6.482478251704807e-05,0.00021218182538891616,1.0,8.669380138165369e-09,4.338475999800401e-16,2.579199374653399
8,0.0008,5,2.7273978350425282e-08,2.743140582123743e-06,3.931658487509299e-06,1.2915091610521885e-05,1.0,1.118857453566522e-08,5.474358220851035e-16,2.7702698749490082
8,0.0008,6,1.6612227777189561e-09,1.6755718872917296e-07,2.3947223796049775e-07,7.888828070063363e-07,1.0,1.1198020760272567e-08,4.0803910076947656e-16,2.6739997919648886
9,0.0009000000000000001,1,0.006944350488568257,0.2238977423907661,1.0,1.0,1.0,1.2605509070503942e-08,3.734938103521933e-16,2.8266691248863935
9,0.0009000000000000001,2,0.0001512876018426759,0.01505070805850206,0.021785709418285344,0.06722134800374287,1.0,7.80661577910716e-09,4.693733311311738e-16,2.488334208726883
9,0.0009000000000000001,3,1.0102203343867815e-05,0.0010410169498694024,0.0014547369635933547,0.004649519636747957,1.0,8.034005496765389e-09,4.637616107791853e-16,3.8975103329867125
9,0.0009000000000000001,4,6.988247444925239e-07,7.260570780780365e-05,0.00010063212472396439,0.00032428066059319953,1.0,1.0480857405645113e-08,4.758546131353035e-16,2.632211625110358
9,0.0009000000000000001,5,4.88048259773822e-08,5.093977710973189e-06,7.027990026961395e-06,2.2751358082399642e-05,1.0,9.535992799416634e-09,3.8955470540807344e-16,2.469575250055641
9,0.0009000000000000001,6,3.4280292165081357e-09,3.590333100676984e-07,4.936428859907538e-07,1.6035593134346205e-06,1.0,7.460967781369925e-09,3.267297450193598e-16,2.6274878326803446
10,0.001,1,0.0069521451450920806,0.23107528429054475,1.0,1.0,1.0,8.195438583660618e-09,3.567140184397165e-16,2.595266457647085
10,0.001,2,0.00017159808748516093,0.017310730312087862,0.02468275387004857,0.07491381159709858,1.0,1.2911845187556602e-08,3.226660052880537e-16,2.9079355001449585
10,0.001,3,1.2753362790484728e-05,0.00133456298091581,0.0018344500185655734,0.005775446668877768,1.0,8.467425914167626e-09,4.723406122305363e-16,2.7109667495824397
10,0.001,4,9.826793894386875e-07,0.00010378936769561918,0.00014134908994706727,0.0004491582386851837,1.0,1.2224855717940187e-08,4.682717026901276e-16,2.5241908747702837
10,0.001,5,7.65075088578333e-08,8.146661649010557e-06,1.1004877956531784e-05,3.5255443584209864e-05,1.0,9.83855697261663e-09,5.36070707899137e-16,2.3290288746356964
10,0.001,6,6.012809431510912e-09,6.470703682026651e-07,8.648854858497453e-07,2.800257804244719e-06,1.0,9.337656437293212e-09,4.811319889941057e-16,2.3242174172773957
